Index,true,predicted
2021-04-17 05:26:00,1.8,1.872123987136557
2021-04-17 06:26:00,1.8,1.855289360149514
2021-04-17 07:26:00,1.8,1.8301935869648593
2021-04-17 10:26:00,1.4,1.3859342111429542
2021-04-17 13:26:00,1.3,1.3402757586227096
2021-04-17 14:26:00,1.4,1.3388356402137696
2021-04-17 15:26:00,1.3,1.2883865002677972
2021-04-17 18:26:00,1.1,1.1106088089116681
2021-04-17 20:26:00,1.1,1.1062138981681076
2021-04-17 21:26:00,1.3,1.2753956787644198
2021-04-17 22:26:00,1.5,1.5377521840866961
2021-04-17 23:26:00,1.5,1.4532698862840234
2021-04-18 03:26:00,1.8,1.82185632619591
2021-04-18 04:26:00,2.0,1.9943675233357496
2021-04-18 05:26:00,1.7,1.651218449018131
2021-04-18 06:26:00,1.6,1.581052015161859
2021-04-18 07:26:00,1.4,1.3706292996876706
2021-04-18 08:26:00,1.4,1.3697749034427897
2021-04-18 11:26:00,1.3,1.281364570026846
2021-04-18 12:26:00,1.2,1.1949266283498305
2021-04-18 13:26:00,1.1,1.0546158327372823
2021-04-18 14:26:00,1.1,1.102349366481187
2021-04-18 15:26:00,1.1,1.1001401304357898
2021-04-18 16:26:00,1.0,0.9604520690702638
2021-04-18 21:26:00,1.0,1.010746506946356
2021-04-18 22:26:00,1.1,1.0170112920482173
2021-04-18 23:26:00,1.2,1.1023671997731117
2021-04-19 00:26:00,1.2,1.1606613348752892
2021-04-19 04:26:00,1.7,1.5938917062505213
2021-04-19 05:26:00,1.5,1.4525632352837907
2021-04-19 06:26:00,1.3,1.2755816503051842
2021-04-19 07:26:00,1.4,1.3623022593908833
2021-04-19 08:26:00,1.3,1.2723936973728813
2021-04-19 09:26:00,1.4,1.4130510013116702
2021-04-19 12:26:00,1.5,1.4988321362042871
2021-04-19 13:26:00,1.5,1.4452537735219513
2021-04-19 14:26:00,1.4,1.2771376661848641
2021-04-19 15:26:00,1.2,1.2673437723755587
2021-04-19 16:26:00,1.2,1.1352401582775593
2021-04-19 17:26:00,1.3,1.275506663337261
